Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"4,491",11,83,619,"9,425","1,220"
Haddock,"19,975",0,0,0,105,0
Redfish,"9,180",3,0,402,"2,250","17,659"
Halibut,"21,794",754,245,"3,076","5,150","33,011"
Flatfishes,"2,628",3,147,888,"3,889","4,532"
Greenland turbot,78,2,0,"7,733","50,209",0
Pollock,x,x,0,0,215,"1,296"
Hake,"8,481",x,x,8,222,"11,604"
Cusk,487,0,0,0,3,0
Catfish,0,0,0,0,0,0
Skate,189,0,0,1,226,889
Dogfish,x,0,0,x,0,515
Herring,"15,798","11,594","5,467","3,197","8,239","5,140"
Mackerel,879,486,"1,356",820,"1,989",1
Swordfish,"10,631",0,0,0,0,0
Tuna,"8,579",x,x,x,231,"6,171"
Alewife,412,"1,018",128,0,0,0
Eel,150,"1,231",985,0,434,0
Salmon ,0,0,0,0,0,"24,268"
Smelt,6,384,18,0,0,0
Silversides,x,0,x,0,0,0
Shark,x,0,0,x,0,0
Capelin,0,x,0,x,"6,656",0
Oyster,237,527,"4,434",0,0,0
Scallop,"103,978","4,524","1,152","1,568","3,041",21
Squid,1,0,0,x,x,0
Mussel,0,x,0,x,0,0
Lobster,"382,201","107,219","112,421","41,602","19,355",0
Shrimp,"52,927","10,561",0,"33,923","247,783","1,399"
"Crab, Queen","90,828","50,792","9,442","61,160","216,921",0
"Crab, Other","1,149","1,700","1,900","1,661",62,"27,345"
Whelks,1,0,10,"1,776","6,955",0
Cockles,0,0,0,0,x,0
Sea cucumber,"1,059",x,0,918,x,0
Sea urchin,956,"2,854",0,"1,636",972,"1,934"
