Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"3,625",8,12,766,"23,376","1,723"
Haddock,"23,976",x,0,x,938,0
Redfish,"6,348",x,0,x,"6,796","25,536"
Halibut,"40,434","1,029",735,"6,031","8,423","63,990"
Flatfishes,"2,588",3,50,"1,139","12,661","6,946"
Greenland turbot,x,x,0,"9,915","57,086",0
Pollock,"4,331",x,0,x,346,"1,071"
Hake,"8,189",4,0,5,514,"18,280"
Cusk,147,0,0,x,x,0
Catfish,0,0,0,0,0,0
Skate,x,0,0,x,131,965
Dogfish,x,0,0,x,x,117
Herring,"20,571","14,211","3,158","2,321","8,198","15,594"
Mackerel,"1,585",235,"1,386",834,"2,727",0
Swordfish,x,0,0,0,x,0
Tuna,"5,374",32,"2,685",139,143,"9,082"
Alewife,611,371,70,0,0,0
Eel,137,720,571,0,198,0
Salmon,0,0,0,0,0,"62,930"
Smelt,x,277,x,0,0,0
Silversides,x,0,x,0,0,0
Shark,272,0,0,x,x,0
Capelin,0,x,0,x,"13,504",0
Oyster,237,x,"1,527",0,0,0
Scallop,"140,981","12,235",x,x,"3,528",0
Squid,1,0,0,0,207,0
Mussel,0,0,0,0,0,0
Lobster,"729,982","270,682","182,775","76,303","36,593",0
Shrimp,"81,131","16,307",0,"48,889","276,064","22,514"
"Crab, Queen","111,135","80,721","15,708","111,222","274,011",0
"Crab, Other","1,820",x,"2,027","1,571",x,"44,898"
Whelks,x,0,0,x,"3,934",0
Cockles,x,0,0,0,x,0
Sea cucumber,0,x,0,x,"2,472","3,574"
Sea urchin,"1,640","8,247",0,"3,559","1,043","8,041"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
