Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"3,470",x,x,687,"13,812","2,933"
Haddock,"26,053",x,0,x,444,0
Redfish,"6,441",x,0,x,"8,591","26,235"
Halibut,"37,967",721,555,"4,570","6,983","59,690"
Flatfishes,"2,649",2,69,"1,094","9,893","6,622"
Greenland turbot,x,x,0,"9,499","67,020",0
Pollock,"4,855",0,0,0,180,"1,887"
Hake,"6,747",x,x,x,228,"8,008"
Cusk,x,0,0,0,x,0
Catfish,0,0,0,x,0,0
Skate,x,0,0,x,45,584
Dogfish,x,0,0,x,x,236
Herring,"16,221","11,374","2,145","2,352","6,680","9,809"
Mackerel,"4,868","2,137",675,934,331,0
Swordfish,"12,940",0,0,0,0,0
Tuna,"6,261",37,"2,907",141,210,"13,754"
Alewife,428,x,x,0,0,0
Eel,102,499,420,0,148,0
Salmon,0,0,0,0,0,"45,072"
Smelt,0,116,3,0,0,0
Silversides,0,0,424,0,0,0
Shark,286,0,0,0,0,0
Capelin,0,x,0,x,"10,220",0
Oyster,226,x,x,0,0,0
Scallop,"167,496","10,586",892,"1,666","3,434",0
Squid,x,0,0,0,x,28
Mussel,0,0,0,0,0,0
Lobster,"695,759","227,634","148,919","73,951","32,797",0
Shrimp,"92,846","16,713",0,"49,484","387,718","42,183"
"Crab, Queen","73,268","70,297","14,479","86,366","256,469",0
"Crab, Other","1,155","1,822","2,006","1,357",132,"54,743"
Whelks,x,0,x,"1,465","5,024",0
Cockles,x,0,0,0,x,0
Sea cucumber,"1,170",x,0,x,"2,213","3,610"
Sea urchin,x,"3,547",0,x,941,"6,380"
,,,,,,
,,,,,,
,,,,,,
