Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"6,587",49,33,"1,071","12,122","1,945"
Haddock,"29,900",0,0,0,117,0
Redfish,"7,204",2,0,187,"1,603","18,728"
Halibut,"17,114",659,271,"1,734","3,405","36,868"
Flatfishes,"3,339",27,88,995,"6,360","3,513"
Greenland turbot,104,1,0,"6,570","50,921",0
Pollock,"5,100",115,0,0,199,926
Hake,"7,870",67,0,5,179,"11,876"
Cusk,415,0,0,0,1,0
Catfish,0,0,0,5,0,0
Skate,24,0,0,2,86,952
Dogfish,2,0,0,0,0,"1,043"
Herring,"13,684","14,819","5,122","1,467","5,156","10,267"
Mackerel,564,803,"1,526",938,"14,627",0
Swordfish,"10,457",0,0,0,0,0
Tuna,"7,625",0,"1,896",105,256,"16,837"
Alewife,484,711,160,0,0,0
Eel,105,448,308,189,194,0
Salmon ,0,0,0,0,0,"70,652"
Smelt,16,396,52,4,0,0
Silversides,227,0,578,0,0,0
Shark,223,0,0,2,4,0
Capelin,0,118,0,142,"2,939",0
Oyster,63,776,"4,029",0,0,0
Scallop,"75,747","3,159",704,"1,418","1,719",63
Squid,0,0,0,0,57,0
Mussel,0,36,0,56,0,0
Lobster,"348,199","93,425","77,337","38,180","18,851",0
Shrimp,"39,798","7,381",0,"24,650","181,963","1,705"
"Crab, Queen","67,668","18,614","3,476","36,221","155,448",0
"Crab, Other",694,"1,500","1,881","1,701",197,"32,081"
Whelks,0,0,0,"1,690","4,876",0
Cockles,0,0,0,0,"1,065",0
Sea cucumber,647,447,0,280,594,"3,751"
Sea urchin,411,"1,529",0,"1,116",58,"3,105"
