Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"21,248","1,310",240,"1,557","10,965","1,540"
Haddock,"14,687",218,0,0,245,0
Redfish,"7,439",5,0,14,"2,890","22,121"
Halibut,"6,634",110,2,828,"1,564","40,372"
Flatfishes,"10,670",391,735,883,"1,034","4,698"
Greenland turbot,"1,716",60,0,"3,439","15,118",839
Pollock,"9,695",491,0,0,331,302
Hake,"13,137",771,35,6,206,"11,616"
Cusk,"1,730",0,0,0,2,0
Catfish,280,1,0,1,175,0
Skate,488,0,2,3,990,401
Dogfish,107,0,7,14,0,"1,230"
Herring,"10,215","11,411","2,799",975,"3,220","29,763"
Mackerel,"3,023","1,108","3,898","2,621",233,16
Swordfish,"8,563",0,0,0,534,0
Tuna,"12,397",59,389,0,397,"1,986"
Alewife,549,"1,456",43,0,0,0
Eel,"2,130","1,159",241,735,446,0
Salmon,0,0,0,157,293,"109,891"
Smelt,43,716,260,158,5,0
Capelin,0,1,0,59,"6,345",0
Oyster,173,783,"3,093",0,0,0
Scallop,"67,326","5,885","4,209","4,387","19,132",404
Squid,"2,653",463,0,0,"3,288",10
Mussel,0,129,0,58,0,0
Lobster,"215,832","65,155","73,823","29,232","22,644",0
Shrimp,"58,958","5,637",0,"23,159","108,240","41,971"
"Crab, Queen","21,152","41,771","5,419","41,833","91,894",0
"Crab, Other","2,810","1,085","1,676",607,68,"28,226"
Sea urchin,"2,262","4,060",52,244,"1,172","10,510"
