Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"4,583",38,14,840,"14,473",964
Haddock,"23,129",4,0,0,263,0
Redfish,"9,099",9,0,346,"2,662","18,098"
Halibut,"1,434",42,18,329,563,"4,071"
Flatfishes,"1,633",26,77,486,"8,444","5,953"
Greenland turbot,69,4,0,"3,220","10,416",0
Pollock,"5,087",120,0,0,311,"3,362"
Hake,"12,208",15,1,17,703,"55,885"
Cusk,575,0,0,0,3,0
Catfish,0,0,0,0,0,0
Skate,37,0,0,8,"1,085",915
Dogfish,154,0,0,0,0,"4,301"
Herring,"66,340","42,343","14,046","4,576","27,872","12,326"
Mackerel,"1,454","1,762","2,463","2,316","34,237",0
Swordfish,"1,292",0,0,0,7,0
Tuna,516,0,173,9,10,"4,362"
Alewife,476,"2,541",226,0,0,0
Eel,20,111,57,21,42,0
Salmon,0,0,0,0,0,"18,507"
Smelt,0,624,83,246,0,0
Silversides,21,0,468,0,0,0
Shark,114,0,0,1,7,0
Capelin,0,"1,367",0,762,"33,230",0
Clams / quahaugs,760,626,"1,714","1,680","24,692","2,175"
Oyster,37,222,"1,910",0,0,0
Scallop,"58,294","2,468",455,993,712,11
Squid,44,0,0,0,643,0
Mussel,0,34,0,20,0,0
Lobster,"31,457","10,351","10,322","3,711","2,501",0
Shrimp,"20,025","7,036",0,"21,856","89,041",592
"Crab, Queen","16,159","10,371","1,971","15,348","53,459",0
"Crab, Other","1,086","2,197","2,092","1,977",309,"5,088"
Whelks,0,0,0,"1,320","5,181",0
Cockles,0,0,0,0,"1,123",0
Sea cucumber,"1,833",933,0,595,511,"1,270"
Sea urchin,410,925,0,346,18,"2,177"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
