Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 12,707 "," 1,073 ", 110 , 503 ," 1,150 ", 903 
Haddock," 10,012 ", 154 , -   , -   , 144 , -   
Redfish," 11,715 ", 1 , -   , 45 ," 9,644 "," 23,796 "
Halibut, 761 , 8 , 0 , 131 , 197 ," 5,700 "
Flatfishes," 6,310 ", 519 , 602 , 521 ," 1,335 "," 5,242 "
Greenland turbot, 977 , 23 , -   ," 1,863 "," 11,772 "," 4,592 "
Pollock," 9,008 ", 294 , -   , -   , 372 ," 2,150 "
Hake," 29,146 ", 50 , 20 , 27 , 368 ," 99,813 "
Cusk," 1,404 ", 0 , -   , 0 , 1 , -   
Catfish, 381 , 9 , 0 , 1 , 30 , -   
Skate," 2,090 ", 0 , 19 , 14 ," 1,777 "," 1,102 "
Dogfish, 97 , 5 , 136 , 188 , 5 ," 4,015 "
Herring," 79,306 "," 66,235 "," 18,097 "," 7,915 "," 17,289 "," 22,726 "
Mackerel," 5,572 "," 2,684 "," 4,585 "," 4,317 "," 3,867 ", 83 
Swordfish, 658 , -   , -   , -   , 83 , -   
Tuna, 782 , -   , 43 , -   , 97 ," 1,020 "
Alewife," 1,913 "," 2,324 ", 70 , -   , -   , -   
Eel, 83 , 85 , 36 , 186 , 94 , -   
Salmon, -   , -   , -   , 32 , 50 ," 35,163 "
Smelt, 20 , 724 , 154 , 172 , 8 , 1 
Capelin, -   , -   , -   , 658 ," 31,841 ", -   
Clams/quahaugs," 10,434 ", 920 ," 1,248 ", 876 ," 16,789 "," 3,283 "
Oyster, 65 , 599 ," 1,467 ", -   , -   , -   
Scallop," 40,305 "," 2,988 "," 2,021 "," 2,495 "," 12,191 ", 114 
Squid, 509 , -   , -   , -   ," 8,302 ", 116 
Mussel, -   , 178 , -   , 69 , -   , -   
Lobster," 18,261 "," 7,637 "," 8,154 "," 3,502 "," 2,379 ", -   
Shrimp," 10,919 "," 3,503 ", -   ," 11,929 "," 29,070 "," 9,387 "
"Crab, Queen"," 4,040 "," 9,544 "," 1,176 "," 13,084 "," 37,970 ", -   
"Crab, Other"," 1,948 "," 1,380 "," 1,771 ", 688 , 87 ," 5,086 "
Sea urchin," 1,108 "," 1,911 ", -   , 99 , 682 ," 5,868 "
Seafish/Shellfish," 264,702 "," 103,091 "," 39,869 "," 50,549 "," 188,332 "," 238,048 "
,,,,,,
