Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"7,061",398,278,"2,203","16,274","1,537"
Haddock,"20,196",3,0,0,267,0
Redfish,"7,979",5,0,252,"7,807","18,265"
Halibut,"1,087",69,15,171,427,"6,692"
Flatfishes,"2,269",24,242,763,"17,068","22,397"
Greenland turbot,722,104,0,"3,069","11,650",0
Pollock,"7,496",78,0,0,508,"1,878"
Hake,"13,839",20,1,8,"2,122","104,189"
Cusk,901,0,0,0,4,0
Catfish,111,0,0,1,0,0
Skate,257,0,0,22,"1,510","1,801"
Dogfish,"2,202",66,0,0,1,"5,433"
Herring,"54,734","62,417","15,392","5,395","25,507","28,778"
Mackerel,"5,234","1,502","5,338","1,221","42,661",1
Swordfish,"1,552",0,0,0,32,0
Tuna,882,0,176,0,33,"3,677"
Alewife,613,"2,878",168,0,0,0
Eel,56,105,61,72,71,0
Salmon ,0,0,0,0,0,"27,190"
Smelt,21,666,277,123,1,0
Capelin,0,0,0,558,"36,394",0
Clams / quahaug,"8,231",991,"1,808","2,123","13,647","2,282"
Oyster,168,250,"2,857",0,0,0
Scallop,"47,576","2,814",389,"1,271","5,177",25
Squid,17,0,0,0,536,0
Mussel,0,168,0,50,0,0
Lobster,"29,613","7,468","8,459","3,461","2,616",0
Shrimp,"28,542","6,555",0,"17,422","114,851","2,883"
"Crab, Queen","15,608","16,136","3,428","16,327","43,956",0
"Crab, Other","1,806","2,394","3,024","2,220","1,039","5,403"
Sea urchin,360,"1,236",0,182,495,"4,135"
