Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"10,576","1,256",804,"4,031","23,774",473
Haddock,"15,394",29,0,1,188,0
Redfish,"10,905",1,0,806,"8,114","21,757"
Halibut,"1,017",30,7,206,391,"6,315"
Flatfishes,"6,744",97,522,836,"16,878","5,515"
Greenland turbot,912,8,0,892,"12,026","8,246"
Pollock,"6,223",93,0,0,875,"1,746"
Hake,"21,530",43,37,18,"1,346","61,016"
Cusk,"1,499",0,0,0,3,0
Catfish,168,0,0,23,395,0
Skate,453,0,0,4,"2,171","1,581"
Dogfish,"3,354",219,5,115,114,"4,527"
Herring,"83,872","73,896","19,511","6,018","17,248","24,369"
Mackerel,"4,079","2,374","5,883","3,212","8,926",20
Swordfish,899,0,0,0,180,0
Tuna,758,0,45,0,130,"3,652"
Alewife,"1,036","4,170",30,0,0,0
Eel,74,157,61,95,37,0
Salmon,0,0,0,0,0,"24,729"
Smelt,15,220,118,220,9,1
Capelin,0,0,0,115,"19,661",0
Clams/quahaugs,"9,791","1,065","1,634","2,803","13,264","2,793"
Oyster,160,315,"2,537",0,0,0
Scallop,"84,264","2,377",531,"1,791","1,731",39
Squid,35,0,0,0,30,23
Mussel,3,155,0,190,0,0
Lobster,"29,406","8,270","8,727","3,603","2,117",0
Shrimp,"29,663","7,057",0,"12,740","75,871","4,379"
"Crab, Queen","15,762","7,194","1,482","14,152","56,716",0
"Crab, Other","3,911","2,975","2,939","1,567","1,391","5,767"
Sea urchin,492,"1,460",0,24,839,"4,297"
Seafish/Shellfish,"346,093","114,278","45,527","55,272","266,032","188,495"
,,,,,,
