Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"6,020",289,70,"2,492","17,861",531
Haddock,"18,906",0,0,0,332,0
Redfish,"6,626",8,0,84,"2,496","18,716"
Halibut,"1,412",72,7,238,292,"5,970"
Flatfishes,"2,462",62,213,688,"5,677","8,978"
Greenland turbot,732,103,0,"3,029","9,834",0
Pollock,"5,721",155,0,2,"1,065","3,183"
Hake,"13,642",28,0,7,"1,684","73,448"
Cusk,"1,043",0,0,0,3,0
Catfish,73,0,0,0,0,0
Skate,254,0,0,5,"1,284","1,192"
Dogfish,"2,384",0,0,0,0,"4,093"
Other,"1,627",8,3,6,719,"6,059"
Herring,"60,059","68,548","12,994","3,522","22,659","11,993"
Mackerel,"2,837","1,423","2,782","1,750","44,602",0
Swordfish,"1,327",0,0,0,21,0
Tuna,751,0,175,0,14,"5,170"
Alewife,710,"2,597",146,0,0,0
Eel,39,118,94,65,66,0
Salmon,0,0,0,0,0,"20,234"
Smelt,34,703,56,29,0,0
Silversides,0,0,495,0,0,0
Shark,170,0,0,2,4,0
Capelin,0,430,0,"1,118","36,051",0
Clams / quahaugs,475,666,"1,162","1,424","18,781","2,185"
Oyster,91,221,"2,043",0,0,0
Scallop,"61,334","1,933",454,911,704,14
Squid,16,0,0,0,228,0
Mussel,0,310,0,8,0,0
Lobster,"25,940","7,823","9,056","3,485","2,566",0
Shrimp,"30,497","8,494",0,"18,147","130,404",675
"Crab, Queen","10,515","11,510","3,303","15,138","50,206",0
"Crab, Other","1,266","2,392","2,945","2,159",542,"6,219"
Whelks,0,0,0,"1,313","3,977",0
Cockles,0,0,0,0,"1,144",0
Sea cucumber,734,"1,067",0,0,190,"1,161"
Sea urchin,414,912,0,761,157,"2,191"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
