Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 90,485 "," 3,865 "," 2,345 "," 16,135 "," 75,123 "," 10,125 "
Haddock," 20,968 ", 8 , -   , 1 , 998 , -   
Redfish," 31,826 "," 4,789 "," 13,350 "," 14,497 "," 34,860 "," 25,781 "
Halibut," 1,302 ", 17 , 1 , 116 , 144 ," 4,577 "
Flatfishes," 14,881 "," 1,581 "," 1,855 "," 2,736 "," 27,812 "," 8,088 "
Greenland turbot," 5,864 ", 187 , -   ," 2,692 "," 12,889 "," 3,569 "
Pollock," 32,359 ", 926 , 0 , 1 , 784 ," 3,249 "
Hake," 35,005 ", 380 ," 1,073 ", 458 ," 1,505 "," 97,317 "
Cusk," 5,077 ", 0 , -   , -   , 0 , -   
Catfish, 904 , 3 , 0 , 21 , 365 , -   
Skate, 378 , 0 , 0 , 1 , 117 , 264 
Dogfish, 748 , 0 , 2 , 117 , 0 ," 2,356 "
Herring," 96,610 "," 80,382 "," 7,848 "," 3,846 "," 28,160 "," 34,587 "
Mackerel," 8,847 "," 1,795 "," 2,342 "," 3,480 "," 9,918 ", 55 
Swordfish," 1,488 ", -   , -   , -   , 56 , -   
Tuna, 478 , 2 , 9 , -   , 56 , 512 
Alewife," 1,573 "," 4,902 ", 317 , 0 , -   , -   
Eel, 118 , 178 , 54 , 312 , 90 , -   
Salmon, -   , -   , -   , 79 , 203 ," 66,497 "
Smelt, 63 , 712 , 193 , 92 , 25 , -   
Capelin, -   , -   , -   , 912 ," 31,155 ", -   
Clams/quahaug," 5,933 "," 1,810 "," 1,620 ", 573 ," 7,676 "," 4,215 "
Oyster, 31 , 532 ," 1,177 ", -   , -   , -   
Scallop," 76,620 "," 5,085 ", 795 ," 2,707 "," 6,912 ", 91 
Squid, 428 , -   , -   , -   , 924 , 92 
Mussel, 1 , 50 ," 4,178 ", 69 , 53 , -   
Lobster," 18,034 "," 7,971 "," 8,873 "," 3,835 "," 3,232 ", -   
Shrimp," 6,232 "," 2,780 ", -   ," 8,273 "," 22,028 "," 3,851 "
"Crab, Queen"," 4,808 "," 6,998 ", 746 ," 8,262 "," 16,441 ", -   
"Crab, Other", 134 , 328 , 508 , 0 , -   ," 3,355 "
Sea urchin, 72 , 512 , -   , -   , -   ," 14,056 "
Seafish/Shellfish," 464,503 "," 126,141 "," 47,350 "," 70,437 "," 283,289 "," 293,740 "
,,,,,,
