Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"1,846",7,10,429,"8,225","1,262"
Haddock,"8,204",x,0,0,x,0
Redfish,"6,189",x,0,x,"2,993","17,253"
Halibut,"2,121",63,37,402,646,"3,740"
Flatfishes,"2,475",2,46,402,"9,902","12,850"
Greenland turbot,x,x,0,"1,945","10,777",0
Pollock,"3,716",x,0,x,149,"3,439"
Hake,"8,977",x,0,x,281,"53,887"
Cusk,391,0,0,0,x,0
Catfish,0,0,0,x,0,0
Skate,146,0,0,2,153,930
Dogfish,x,0,0,x,0,423
Herring,"46,296","33,908","7,902","8,427","29,569","14,032"
Mackerel,450,766,825,"1,356","5,169",8
Swordfish,"1,505",0,0,0,0,0
Tuna,589,10,153,7,27,"2,968"
Alewife,487,791,40,0,0,0
Eel,x,168,115,x,37,0
Salmon,0,0,0,0,0,"17,706"
Smelt,x,303,19,x,x,0
Silversides,x,0,x,0,0,0
Shark,61,0,0,0,0,0
Capelin,0,0,0,291,"30,019",0
Clams / quahaugs,"1,094",x,897,"1,235",x,"1,771"
Oyster,66,275,"1,641",0,0,0
Scallop,"59,176","3,014",424,596,"1,474",1
Squid,27,0,0,0,0,0
Mussel,0,x,0,x,0,0
Lobster,"39,721","15,521","12,957","4,287","2,200",0
Shrimp,"24,745","5,676",0,"20,661","97,201",533
"Crab, Queen","18,467","11,113","1,960","15,891","50,634",0
"Crab, Other",837,"1,501","1,853","1,402",79,"3,031"
Whelks,x,0,0,x,"4,744",0
Cockles,0,0,0,0,x,0
Sea cucumber,"1,990",x,0,"1,153",x,0
Sea urchin,x,"1,041",0,x,658,"1,858"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
