Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"11,874",897,268,"2,092","22,679","1,392"
Haddock,"11,438",85,0,0,250,0
Redfish,"15,348",1,0,180,"10,228","21,934"
Halibut,824,23,1,175,274,"7,780"
Flatfishes,"6,438",223,508,557,"6,004","5,074"
Greenland turbot,"1,257",13,0,"3,227","7,744","3,828"
Pollock,"14,057",398,0,0,639,822
Hake,"19,438",35,44,25,631,"90,721"
Cusk,"1,640",0,0,0,1,0
Catfish,318,1,0,2,208,0
Skate,678,0,0,11,"2,297",626
Dogfish,924,59,47,47,5,"2,547"
Herring,"76,413","69,134","17,492","6,019","20,926","26,853"
Mackerel,"4,563","1,762","6,862","4,066","1,687",118
Swordfish,"1,020",0,0,0,95,0
Tuna,728,0,41,0,38,"2,289"
Alewife,"1,548","3,815",52,0,0,0
Eel,90,69,24,158,73,0
Salmon,0,0,0,7,0,"30,435"
Smelt,28,807,276,140,5,1
Capelin,23,776,0,259,"38,548",0
Clams/quahaugs,"9,571","1,523","1,351","1,208","16,702","3,098"
Oyster,220,506,"2,417",0,0,0
Scallop,"48,795","3,186","1,436","2,714","6,963",56
Squid,"1,124",0,0,0,769,27
Mussel,0,106,0,72,0,0
Lobster,"19,527","7,878","8,698","3,048","2,035",0
Shrimp,"23,946","4,759",0,"15,104","64,121","5,172"
"Crab, Queen","4,912","6,719",612,"10,344","52,666",0
"Crab, Other","2,563","1,691","2,891","1,108",356,"2,973"
Sea urchin,"1,021","1,712",38,10,928,"6,106"
Other,221,131,0,845,235,"1,311"
Seafish/Shellfish,"282,825","106,395","43,333","51,494","257,848","220,210"
,,,,,,
