Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"4,018",33,21,956,"12,228","2,019"
Haddock,"22,244",0,0,0,157,0
Redfish,"10,418",2,0,292,"2,584","17,916"
Halibut,"1,578",82,32,276,537,"4,124"
Flatfishes,"2,191",12,67,723,"10,885","4,463"
Greenland turbot,78,1,0,"3,057","11,578",0
Pollock,"4,915",117,0,0,338,"3,666"
Hake,"10,059",60,0,9,515,"48,013"
Cusk,470,0,0,0,4,0
Catfish,0,0,0,8,0,0
Skate,73,0,0,6,352,"1,064"
Dogfish,6,0,0,0,0,"1,841"
Herring,"54,912","49,163","15,611","4,165","26,032","9,528"
Mackerel,668,"1,260","1,903","1,709","33,196",1
Swordfish,"1,346",0,0,0,0,0
Tuna,598,0,150,11,30,"4,947"
Alewife,720,"1,866",179,0,0,0
Eel,27,103,70,27,52,0
Salmon,0,0,0,0,0,"23,568"
Smelt,22,534,61,2,0,0
Silversides,188,0,501,0,0,0
Shark,129,0,0,1,4,0
Capelin,0,"1,258",0,"1,030","24,240",0
Clams / quahaugs,751,732,921,"1,508","22,845","1,883"
Oyster,19,225,"1,691",0,0,0
Scallop,"55,785","2,170",360,851,"1,140",10
Squid,18,0,0,0,100,0
Mussel,0,33,0,16,0,0
Lobster,"37,945","11,741","10,585","4,409","2,597",0
Shrimp,"22,733","7,255",0,"22,222","112,061",514
"Crab, Queen","16,423","4,221",825,"10,944","52,229",0
"Crab, Other","1,088","2,075","2,093","1,960",255,"4,519"
Whelks,0,0,0,"1,530","5,530",0
Cockles,0,0,0,0,894,0
Sea cucumber,"1,617","1,116",0,687,898,"1,363"
Sea urchin,410,941,0,615,52,"2,339"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
