Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"2,561",24,22,686,"9,747","1,895"
Haddock,"15,063",x,0,x,132,0
Redfish,"10,358",11,0,374,"3,069","18,039"
Halibut,"1,589",60,33,451,456,"4,136"
Flatfishes,"1,900",7,79,756,"5,601","10,026"
Greenland turbot,57,4,1,"2,853","11,049",0
Pollock,"5,304",42,0,0,190,"4,039"
Hake,"10,751",18,0,11,272,"45,687"
Cusk,463,x,0,0,x,0
Catfish,0,0,0,0,0,0
Skate,119,0,0,3,594,"1,359"
Dogfish,125,0,0,x,0,961
Herring,"58,128","34,591","10,608","6,265","24,875","7,751"
Mackerel,416,905,"1,509","1,345","7,359",1
Swordfish,"1,536",0,0,0,x,0
Tuna,491,x,160,x,26,"4,371"
Alewife,779,"1,315",130,x,0,0
Eel,21,111,100,21,52,0
Salmon,0,0,0,0,0,"20,671"
Smelt,3,343,62,39,0,0
Silversides,86,0,232,0,0,0
Shark,71,0,0,2,x,0
Capelin,0,x,0,x,"30,166",0
Clams / quahaugs,"1,462",589,x,"1,343",x,"2,098"
Oyster,x,x,"1,959",0,0,0
Scallop,"55,093","2,233",484,672,"1,420",8
Squid,39,0,0,0,90,0
Mussel,0,x,0,16,0,0
Lobster,"39,382","12,389","9,284","3,989","1,934",0
Shrimp,"25,019","6,442",0,"20,348","98,997",486
"Crab, Queen","15,798","4,493",993,"10,137","52,951",0
"Crab, Other","1,230","1,926","2,172","1,813",137,"2,947"
Whelks,x,x,x,"1,405","6,067",0
Cockles,0,0,0,0,x,0
Sea cucumber,"2,627",x,0,"1,073",x,"1,141"
Sea urchin,372,929,0,670,284,"2,551"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
