Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"7,695",637,289,"1,574","14,535","1,318"
Haddock,"16,298",38,0,0,153,0
Redfish,"6,579",13,0,291,"6,047","19,501"
Halibut,"1,095",58,22,182,493,"6,401"
Flatfishes,"2,551",38,229,753,"16,024","11,543"
Greenland turbot,600,55,0,"3,164","10,797",0
Pollock,"8,315",76,0,0,386,"2,930"
Hake,"15,691",63,3,9,"1,519","124,872"
Cusk,923,0,0,0,4,0
Catfish,129,0,0,0,0,0
Skate,503,0,0,26,"1,402","1,997"
Dogfish,"2,091",271,0,9,0,"5,467"
Herring,"75,152","64,884","16,503","6,847","20,059","23,789"
Mackerel,"5,517","1,419","4,810","1,979","40,005",14
Swordfish,"1,180",0,0,0,23,0
Tuna,809,0,179,0,26,738
Alewife,"1,100","2,747",111,1,0,0
Eel,63,148,69,0,49,0
Salmon,0,0,0,0,0,"25,824"
Smelt,15,621,160,0,3,0
Capelin,0,0,0,187,"33,443",0
Clams/quahaugs,"10,090","1,152","1,595","2,369","16,373","3,008"
Oyster,63,240,"3,996",0,0,0
Scallop,"73,732","2,860",455,"1,159","4,367",33
Squid,43,0,0,0,"2,524",0
Mussel,104,55,0,55,0,0
Lobster,"25,857","6,722","9,152","3,838","1,910",0
Shrimp,"26,309","6,998",0,"22,347","120,425","2,690"
"Crab, Queen","18,062","11,794","2,551","15,289","55,656",0
"Crab, Other","1,827","2,620","2,864","1,850","1,338","9,430"
Sea urchin,258,"1,124",0,166,769,"4,520"
Seafish/Shellfish,"308,936","105,928","43,309","63,785","353,582","254,720"
,,,,,,
