Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"9,098","1,396",889,"3,275","21,083",694
Haddock,"14,598",20,0,0,292,0
Redfish,"9,492",15,0,347,"6,918","20,125"
Halibut,965,43,8,188,449,"7,261"
Flatfishes,"5,745",87,393,686,"14,224","11,900"
Greenland turbot,506,25,0,"1,052","9,706",0
Pollock,"7,004",59,0,0,498,"3,606"
Hake,"19,586",45,17,16,"1,255","56,872"
Cusk,"1,288",1,0,0,1,0
Catfish,178,0,0,22,523,0
Skate,490,0,0,6,"2,488","1,540"
Dogfish,"3,274",173,0,26,123,"4,701"
Herring,"82,333","68,816","18,461","5,338","18,362","26,338"
Mackerel,"3,991","2,233","6,186","4,421","18,016",0
Swordfish,910,0,0,0,49,0
Tuna,812,2,105,0,146,"3,656"
Alewife,"1,799","4,574",83,0,0,0
Eel,59,131,86,39,65,0
Salmon,0,0,0,0,0,"33,269"
Smelt,11,286,123,73,6,0
Capelin,0,0,0,94,"13,503",0
Clams/quahaugs,"10,180","1,232","1,598","2,652","15,568","3,239"
Oyster,102,242,"2,559",0,0,0
Scallop,"90,958","2,521",317,"1,249","1,040",42
Squid,30,0,0,0,229,0
Mussel,86,189,0,70,0,0
Lobster,"26,820","7,878","9,021","3,161","2,059",0
Shrimp,"29,345","6,747",0,"16,550","82,957","3,712"
"Crab, Queen","15,312","11,945","2,289","17,849","59,417",0
"Crab, Other","3,069","3,274","2,769","1,981","1,209","4,187"
Sea urchin,266,"1,188",0,47,870,"4,362"
Seafish/Shellfish,"343,595","114,057","45,118","60,964","274,312","192,218"
,,,,,,
