Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 19,016 ", 575 , 473 , 364 ," 2,285 "," 3,556 "
Haddock," 6,912 ", 21 , -   , 0 , 22 , -   
Redfish," 27,392 "," 1,208 ", 0 ," 4,673 "," 17,515 "," 24,282 "
Halibut," 1,031 ", 9 , 0 , 161 , 64 ," 5,982 "
Flatfishes," 10,701 ", 707 , 794 , 376 ," 2,619 "," 8,642 "
Greenland turbot, 599 , 8 , -   ," 3,152 "," 7,280 "," 4,101 "
Pollock," 14,930 ", 434 , 0 , 12 , 219 ," 4,609 "
Hake," 13,705 ", 98 , 266 , 120 , 536 ," 116,659 "
Cusk," 1,691 ", 0 , -   , -   , 0 , -   
Catfish, 443 , 5 , 0 , 2 , 35 , -   
Skate," 2,733 ", 1 , 14 , 15 ," 3,630 ", 582 
Dogfish, 845 , 5 , 833 , 129 , 7 ," 1,816 "
Herring," 76,969 "," 97,926 "," 8,907 "," 5,448 "," 17,887 "," 40,639 "
Mackerel," 8,053 "," 1,933 "," 4,498 "," 3,546 "," 2,800 ", 4 
Swordfish," 1,542 ", -   , -   , -   , 133 , -   
Tuna, 592 , 1 , 5 , -   , 7 , 563 
Alewife," 1,726 "," 3,985 ", 115 , -   , -   , -   
Eel, 142 , 199 , 46 , 251 , 111 , -   
Salmon, -   , -   , -   , 43 , 93 ," 65,826 "
Smelt, 65 , 899 , 255 , 145 , 36 , -   
Capelin, -   , 47 , -   , 327 ," 1,909 ", -   
Clams/quahaugs," 9,700 "," 1,757 "," 1,477 ", 916 ," 12,635 "," 4,094 "
Oyster, 112 , 576 ," 2,040 ", -   , -   , -   
Scallop," 75,769 "," 4,634 "," 1,385 "," 2,453 "," 7,467 ", 104 
Squid," 3,825 ", -   , -   , 0 ," 1,956 ", 175 
Mussel, 1 , 135 ," 5,947 ", 0 , 35 , -   
Lobster," 19,420 "," 7,823 "," 8,507 "," 3,151 "," 2,639 ", -   
Shrimp," 9,609 "," 2,986 ", -   ," 10,357 "," 25,728 "," 4,502 "
"Crab, Queen"," 4,329 "," 12,432 "," 1,078 "," 14,660 "," 27,955 ", -   
"Crab, Other"," 1,295 "," 1,334 "," 1,919 ", 106 , 2 ," 6,002 "
Sea urchin, 788 ," 1,530 ", -   , 14 , 96 ," 6,161 "
Seafish/Shellfish," 319,009 "," 141,603 "," 39,124 "," 51,241 "," 137,076 "," 309,415 "
,,,,,,
