Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 10,329 ", 649 , 109 , 488 , 914 ," 2,172 "
Haddock," 7,841 ", 18 , -   , 0 , 74 , -   
Redfish," 12,282 ", 11 , -   , 15 ," 5,647 "," 21,669 "
Halibut, 675 , 2 , 0 , 86 , 133 ," 5,214 "
Flatfishes," 7,317 ", 481 , 713 , 544 ," 1,777 "," 8,038 "
Greenland turbot," 1,596 ", 18 , -   ," 2,089 "," 7,641 "," 2,730 "
Pollock," 9,633 ", 237 , -   , 0 , 351 ," 3,295 "
Hake," 20,915 ", 40 , 22 , 9 , 594 ," 59,319 "
Cusk," 2,007 ", 0 , -   , -   , 2 , -   
Catfish, 258 , 1 , 0 , 1 , 43 , -   
Skate," 1,797 ", 1 , 27 , 4 ," 4,419 ", 982 
Dogfish, 390 , 1 , 418 , 141 , 6 ," 2,744 "
Herring," 64,045 "," 89,909 "," 11,923 "," 6,426 "," 21,394 "," 26,776 "
Mackerel," 6,699 "," 2,206 "," 3,048 "," 3,382 "," 2,974 ", 56 
Swordfish," 1,542 ", -   , -   , -   , 68 , -   
Tuna, 878 , -   , 27 , -   , 11 , 792 
Alewife," 1,936 "," 4,218 ", 59 , -   , -   , -   
Eel, 135 , 174 , 34 , 202 , 87 , -   
Salmon, -   , -   , -   , 42 , 61 ," 48,793 "
Smelt, 41 , 757 , 289 , 6 , 39 , -   
Capelin, -   , -   , -   , 137 , 160 , -   
Clams/quahaugs," 9,800 "," 2,103 "," 1,139 "," 1,376 "," 15,320 "," 3,785 "
Oyster, 89 , 603 ," 1,620 ", -   , -   , -   
Scallop," 50,397 "," 4,007 "," 1,427 "," 2,497 "," 10,369 ", 96 
Squid, 932 , -   , -   , -   , 96 , 76 
Mussel, 1 , 240 ," 4,197 ", 34 , 34 , -   
Lobster," 18,922 "," 7,699 "," 8,543 "," 3,411 "," 2,544 ", -   
Shrimp," 11,974 "," 3,381 ", -   ," 10,070 "," 29,157 "," 8,557 "
"Crab, Queen"," 4,800 "," 11,720 "," 1,760 "," 14,717 "," 32,342 ", -   
"Crab, Other"," 1,814 "," 1,809 "," 2,267 ", 839 ," 1,177 "," 4,747 "
Sea urchin," 1,141 "," 1,621 ", 0 , 122 , 283 ," 6,666 "
Seafish/Shellfish," 255,287 "," 132,180 "," 37,851 "," 47,748 "," 138,599 "," 216,222 "
,,,,,,
