Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"17,379","1,557","1,251","5,264","43,059","1,173"
Haddock,"23,994",64,0,0,216,0
Redfish,"7,142",4,0,223,"3,360","35,741"
Halibut,"6,083",112,55,"1,126","1,702","39,848"
Flatfishes,"9,701",101,426,768,"10,376","6,531"
Greenland turbot,"2,051",10,0,"3,464","14,427","1,265"
Pollock,"4,874",129,0,1,334,498
Hake,"10,873",57,48,8,388,"3,500"
Cusk,"1,050",0,0,0,0,0
Catfish,99,0,0,4,209,0
Skate,153,0,0,1,324,439
Dogfish,875,33,3,88,0,"3,684"
Herring,"12,095","14,267","4,712","1,493","2,611","49,829"
Mackerel,"2,188","1,419","2,712",996,"1,467",2
Swordfish,"6,058",0,0,0,"1,430",0
Tuna,"11,279",0,"2,193",0,"2,328","5,619"
Alewife,503,828,52,0,0,0
Eel,468,553,328,436,341,0
Salmon,0,0,0,0,0,"52,412"
Smelt,50,854,198,243,3,5
Capelin,0,0,0,10,"3,605",0
Oyster,618,782,"8,807",0,0,0
Scallop,"107,108","4,705","1,838","3,815","4,227",282
Squid,30,0,0,0,133,18
Mussel,114,291,0,0,0,0
Lobster,"302,569","84,648","91,842","41,015","19,282",0
Shrimp,"74,054","7,338",0,"27,357","183,986","38,289"
"Crab, Queen","79,851","52,359","6,926","78,493","268,002",0
"Crab, Other","4,298","2,582","2,095","1,193",667,"21,591"
Sea urchin,"2,352","3,603",0,34,"1,431","8,879"
