Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"13,214",209,158,"3,119","28,355",482
Haddock,"26,180",2,0,0,379,0
Redfish,"4,116",22,0,241,840,"19,217"
Halibut,"12,830",307,57,"1,762","3,031","37,259"
Flatfishes,"2,892",64,195,501,"8,078","5,096"
Greenland turbot,790,68,0,"5,786","17,790",0
Pollock,"4,293",107,0,0,374,410
Hake,"11,370",14,0,12,"1,169","25,047"
Cusk,591,0,0,0,1,0
Catfish,0,2,0,1,0,0
Skate,15,0,0,2,363,714
Dogfish,501,0,0,0,1,"1,412"
Herring,"10,856","10,298","3,062",959,"5,279","16,879"
Mackerel,"1,358",740,"1,240","1,021","7,525",0
Swordfish,"8,683",0,0,0,120,0
Tuna,"10,603",0,"3,631",5,4,"11,618"
Alewife,575,"1,313",173,0,0,0
Eel,"7,430",808,202,349,173,0
Salmon ,0,0,0,0,0,"21,773"
Smelt,21,359,61,106,4,0
Silversides,0,0,407,0,0,0
Shark,166,0,0,2,2,0
Capelin,0,5,0,397,"9,673",0
Oyster,69,721,"3,370",0,0,0
Scallop,"85,503","4,219",796,"1,550",757,78
Squid,8,0,0,0,222,0
Mussel,0,100,0,93,0,0
Lobster,"363,744","89,089","95,387","43,290","27,942",0
Shrimp,"38,933","5,831",0,"25,330","187,822","1,749"
"Crab, Queen","66,618","47,956","11,633","51,365","179,515",0
"Crab, Other",925,"1,763","1,902","1,713",350,"36,539"
Whelks,0,0,0,"1,257","6,638",0
Cockles,0,0,0,0,143,0
Sea cucumber,423,427,0,53,396,"2,746"
Sea urchin,834,"3,034",0,769,53,"2,596"
