Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Groundfish,,,,,,
Cod,"13,661",623,253,"2,909","19,711","1,288"
Haddock,"26,703",7,0,0,138,0
Redfish,"4,915",3,0,286,"4,281","25,372"
Halibut,"12,359",505,112,931,"2,422","54,852"
Flatfishes,"3,430",49,418,707,"1,415","7,953"
Greenland turbot,"1,238",63,0,"4,923","30,198",0
Pollock,"2,977",75,0,1,457,"1,442"
Hake,"10,487",20,0,2,"1,409","26,902"
Cusk,785,0,0,0,2,0
Catfish,29,0,0,0,0,0
Skate,30,0,0,2,334,391
Dogfish,"3,164",0,0,0,0,"1,467"
Herring,"14,006","11,423","2,615","1,100","5,052","19,352"
Mackerel,"1,717",976,"2,179","1,002","14,598",0
Swordfish,"11,897",0,0,0,0,0
Tuna,"11,754",0,"3,322",0,80,"13,216"
Alewife,559,"1,245",212,0,0,0
Eel,784,642,462,498,451,0
Salmon ,0,0,0,0,0,"61,532"
Smelt,7,611,91,32,0,0
Silversides,0,0,615,0,0,0
Shark,241,0,0,3,3,0
Capelin,0,103,0,337,"11,255",0
Oyster,205,"1,101","5,857",0,0,0
Scallop,"76,919","4,830",932,"1,765","3,370",106
Squid,15,0,0,0,"2,900",0
Mussel,0,115,0,110,0,0
Lobster,"380,140","91,918","109,194","43,145","28,689",0
Shrimp,"45,825","7,361",0,"18,874","162,069","2,630"
"Crab, Queen","32,410","33,237","9,481","39,592","100,760",0
"Crab, Other","1,079","1,786","2,146","1,713",553,"21,312"
Whelks,0,0,10,"1,624","4,089",0
Cockles,0,0,0,0,"11,209",0
Sea cucumber,313,445,0,0,321,"1,662"
Sea urchin,685,"1,918",0,777,354,"4,513"
