Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"6,924",468,213,"2,744","17,063",960
Haddock,"16,798",5,0,0,157,0
Redfish,"7,416",2,0,353,"6,476","18,394"
Halibut,"1,201",76,14,150,393,"7,277"
Flatfishes,"2,502",36,213,716,"1,913","11,356"
Greenland turbot,438,35,0,"2,885","11,264",0
Pollock,"3,959",92,0,1,844,"3,114"
Hake,"14,341",23,0,4,"2,046","96,198"
Cusk,881,0,0,0,2,0
Catfish,69,0,0,0,0,0
Skate,106,0,0,6,"1,162","1,429"
Dogfish,"2,439",0,0,1,0,"2,417"
Herring,"59,890","57,181","13,743","4,346","24,942","23,370"
Mackerel,"2,592","1,513","3,541","2,031","44,283",0
Swordfish,"1,405",0,0,0,0,0
Tuna,998,0,239,0,11,"4,755"
Alewife,"1,172","2,946",279,0,0,0
Eel,77,108,87,65,80,0
Salmon,0,0,0,0,0,"24,287"
Smelt,10,789,80,49,0,0
Silversides,0,0,551,0,0,0
Shark,265,0,0,2,6,0
Capelin,0,689,0,"1,519","39,985",0
Clams / quahaugs,"1,885",778,"1,310","1,782","20,804","2,425"
Oyster,79,264,"2,062",0,0,0
Scallop,"57,095","2,356",419,"1,167","2,352",18
Squid,43,0,0,0,"6,879",0
Mussel,0,101,0,50,0,0
Lobster,"31,595","7,874","9,435","3,461","2,642",0
Shrimp,"28,013","8,492",0,"19,336","122,541",766
"Crab, Queen","10,775","12,655","3,431","15,524","47,261",0
"Crab, Other","1,308","2,134","2,914","2,088",706,"3,871"
Whelks,0,0,10,"1,630","4,151",0
Cockles,0,0,0,0,"10,362",0
Sea cucumber,788,"1,122",0,0,582,967
Sea urchin,337,946,0,690,273,"3,136"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
