Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"7,920",288,66,204,"14,289",805
Haddock,"15,596",27,0,0,207,0
Redfish,"7,535",1,0,321,"7,385","21,026"
Halibut,"1,135",37,4,115,542,"6,302"
Flatfishes,"5,247",31,447,571,"16,708","10,436"
Greenland turbot,714,31,0,"2,684","11,840",0
Pollock,"8,131",105,0,2,398,"5,388"
Hake,"13,575",53,2,18,"1,484","68,562"
Cusk,"1,145",0,0,0,3,0
Catfish,161,0,0,1,94,0
Skate,380,0,0,11,"2,210","2,520"
Dogfish,"1,303",0,0,21,0,"5,609"
Herring,"88,961","68,251","16,103","6,651","20,368","29,279"
Mackerel,"7,306","1,733","4,583","4,597","26,693",1
Swordfish,"1,224",0,0,0,61,0
Tuna,623,0,126,0,117,"2,726"
Alewife,"1,823","3,331",83,0,0,0
Eel,46,168,71,75,65,0
Salmon,0,0,0,0,0,"38,510"
Smelt,17,863,226,123,5,0
Capelin,0,0,0,112,"22,342",0
Clams/quahaugs,"10,869","1,083","1,839","2,439","20,005","2,968"
Oyster,61,253,"2,959",0,0,0
Scallop,"87,918","2,612",338,"1,452","1,538",39
Squid,49,0,0,0,"1,087",0
Mussel,46,156,0,49,0,0
Lobster,"27,506","7,379","9,158","3,538","2,256",0
Shrimp,"31,383","5,359",0,"17,285","88,520","3,348"
"Crab, Queen","16,943","7,428","1,566","12,606","58,355",0
"Crab, Other","2,207","2,509","2,579","1,863","1,399","7,097"
Sea urchin,308,"1,237",0,146,893,"4,398"
Seafish/Shellfish,"345,819","103,888","40,633","56,993","306,092","217,658"
,,,,,,
