Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"10,259","1,214","1,250","4,079","38,676",836
Haddock,"10,382",20,0,0,149,0
Redfish,"11,810",15,0,368,"7,505","23,985"
Halibut,752,26,3,181,244,"7,662"
Flatfishes,"6,989",178,657,"1,026","8,296","5,687"
Greenland turbot,970,38,0,"2,885","8,785","3,556"
Pollock,"7,648",163,0,1,741,"1,233"
Hake,"16,176",31,218,20,602,"91,739"
Cusk,"1,063",0,0,0,2,0
Catfish,305,0,0,5,385,0
Skate,765,0,4,8,"2,325","1,359"
Dogfish,"2,117",17,144,191,0,"3,365"
Herring,"86,628","77,500","17,784","5,829","15,159","11,779"
Mackerel,"4,798","2,270","3,845","5,407","1,375",254
Swordfish,865,0,0,0,253,0
Tuna,719,0,76,0,105,"1,543"
Alewife,"1,360","3,569",93,1,0,0
Eel,85,93,35,123,55,0
Salmon,0,0,0,5,0,"17,116"
Smelt,21,736,238,300,2,0
Capelin,0,166,0,86,"23,228",0
Clams/quahaugs,"9,062","1,068","1,368","1,941","20,267","2,884"
Oyster,335,315,"3,353",0,0,0
Scallop,"49,175","2,393",760,"2,789","3,187",34
Squid,296,0,0,0,18,15
Mussel,58,214,0,62,0,0
Lobster,"23,389","7,958","8,403","3,214","1,813",0
Shrimp,"29,594","4,762",0,"14,917","66,601","4,158"
"Crab, Queen","6,357","7,550",859,"11,339","69,131",0
"Crab, Other","2,214","1,604","2,504","1,226",191,"3,061"
Sea urchin,"1,062","1,713",19,22,844,"5,433"
Seafish/Shellfish,"288,095","113,761","42,194","57,674","270,486","194,774"
,,,,,,
