Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"2,371",4,7,438,"10,180","1,260"
Haddock,"15,732",0,x,x,304,0
Redfish,"6,805",x,0,x,"2,086","16,179"
Halibut,"2,200",106,24,453,835,"3,619"
Flatfishes,"2,115",0,7,383,"8,246","15,561"
Greenland turbot,x,x,0,"2,977","11,290",0
Pollock,"2,875",0,0,0,328,"7,601"
Hake,"8,040",x,x,5,405,"37,437"
Cusk,x,0,0,0,x,0
Catfish,0,0,0,x,0,0
Skate,105,0,0,1,208,847
Dogfish,54,0,0,x,x,221
Herring,"44,891","31,532","6,127","6,329","25,731","23,177"
Mackerel,770,449,522,"1,367","3,432",0
Swordfish,"1,609",0,0,0,0,0
Tuna,571,x,153,x,23,"4,780"
Alewife,697,811,54,0,0,0
Eel,x,132,x,x,42,0
Salmon,0,0,0,0,0,"35,473"
Smelt,0,120,4,0,0,0
Silversides,x,0,x,0,0,0
Shark,64,x,0,x,x,0
Capelin,0,0,0,20,"28,847",0
Clams / quahaug,"2,071",481,521,"1,120","22,675","1,866"
Oyster,x,x,"1,034",0,0,0
Scallop,"63,772","3,557",x,x,"1,492",0
Squid,22,0,0,0,0,8
Mussel,x,0,0,0,0,0
Lobster,"51,534","20,236","13,518","5,353","2,138",0
Shrimp,"24,872","5,635",0,"18,298","80,853","2,143"
"Crab, Queen","19,187","9,655","1,544","15,956","49,761",0
"Crab, Other","1,005","1,166","1,774","1,244",87,"3,862"
Whelks,x,0,x,952,"2,424",0
Cockles,x,0,0,0,x,0
Sea cucumber,"1,719",x,0,x,x,"1,688"
Sea urchin,270,"1,073",0,495,539,"3,850"
