Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"2,151",5,34,474,"8,334","1,265"
Haddock,"9,224",0,0,0,106,0
Redfish,"13,220",3,0,422,"1,330","16,584"
Halibut,"1,791",67,24,377,626,"3,694"
Flatfishes,"1,731",2,73,504,"2,971","10,075"
Greenland turbot,61,2,0,"2,856","10,512",0
Pollock,x,x,0,0,339,"5,131"
Hake,"11,345",x,x,14,255,"46,913"
Cusk,495,0,0,0,2,0
Catfish,0,0,0,0,0,0
Skate,273,0,0,3,551,979
Dogfish,x,0,0,x,0,876
Herring,"46,612","25,467","9,040","7,952","24,918","9,390"
Mackerel,683,524,"1,465","1,177","2,619",3
Swordfish,"1,485",0,0,0,0,0
Tuna,574,x,x,x,26,"1,391"
Alewife,569,"1,282",96,0,0,0
Eel,23,161,128,0,64,0
Salmon,0,0,0,0,0,"8,988"
Smelt,2,249,8,0,0,0
Silversides,x,0,x,0,0,0
Shark,x,0,0,x,1,0
Capelin,0,x,0,x,"31,153",0
Clams / quahaugs,"1,221",x,"1,185","1,026",x,"1,421"
Oyster,60,155,"1,617",0,0,0
Scallop,"48,708","1,854",482,681,"1,581",3
Squid,32,0,0,x,x,0
Mussel,0,x,0,x,0,0
Lobster,"43,049","13,484","12,147","3,987","2,123",0
Shrimp,"21,368","6,087",0,"18,742","102,678",431
"Crab, Queen","17,927","9,218","1,714","13,528","50,462",0
"Crab, Other","1,065","1,661","1,942","1,722",81,"2,942"
Whelks,1,0,11,"1,432","4,910",0
Cockles,0,0,0,0,x,0
Sea cucumber,"2,178",x,0,"1,441",x,0
Sea urchin,330,989,0,687,519,"1,543"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
