Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"9,712","1,258",966,"4,025","30,216",711
Haddock,"12,417",32,0,0,235,0
Redfish,"13,695",7,0,300,"5,870","24,434"
Halibut,719,18,9,217,264,"6,465"
Flatfishes,"7,351",101,478,"1,015","13,115","5,915"
Greenland turbot,699,5,0,"1,632","15,079","4,291"
Pollock,"5,689",116,0,1,729,"1,044"
Hake,"15,072",51,44,14,"1,092","22,374"
Cusk,"1,096",0,0,0,0,0
Catfish,192,0,0,12,495,0
Skate,479,0,0,6,"1,580","1,610"
Dogfish,"2,575",97,7,149,0,"4,655"
Herring,"77,018","79,337","22,557","7,767","16,687","30,420"
Mackerel,"4,929","2,028","4,378","2,022","4,499",4
Swordfish,740,0,0,0,227,0
Tuna,753,0,108,0,241,"2,390"
Alewife,"1,684","3,485",88,0,0,0
Eel,97,145,79,99,63,0
Salmon,0,0,0,0,0,"19,496"
Smelt,20,829,156,277,3,2
Capelin,0,0,0,87,"21,116",0
Clams/quahaugs,"9,049",718,"1,602","2,525","16,610","2,913"
Oyster,239,248,"3,647",0,0,0
Scallop,"78,211","2,300",925,"2,360","2,880",47
Squid,39,0,0,0,329,10
Mussel,94,287,0,68,0,0
Lobster,"23,736","7,942","8,661","3,413","1,759",0
Shrimp,"28,577","5,333",0,"17,089","83,917","4,346"
"Crab, Queen","14,089","8,482","1,122","14,369","55,513",0
"Crab, Other","3,047","2,629","2,761","1,425",765,"2,999"
Sea urchin,916,"1,416",0,19,783,"5,049"
Seafish/Shellfish,"316,450","117,634","47,908","60,630","274,984","147,782"
,,,,,,
