Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"2,719",15,11,891,"23,218",490
Haddock,"18,063",1,0,0,463,0
Redfish,"6,217",x,0,x,"11,773","22,133"
Halibut,"40,152","1,402",636,"6,609","7,820","55,375"
Flatfishes,"1,273",x,x,"1,073","12,325","19,063"
Greenland turbot,136,0,0,"4,034","55,641",0
Pollock,"2,918",x,x,x,227,"1,544"
Hake,"5,329",3,0,8,308,"63,389"
Cusk,179,x,0,0,x,0
Catfish,0,0,0,0,0,0
Skate,30,0,0,0,220,360
Dogfish,35,0,0,0,0,23
Herring,"23,717","19,776","1,358","2,232","4,788","12,936"
Mackerel,"1,770",488,"3,587","1,191","3,672",0
Swordfish,"10,169",0,0,0,0,0
Tuna,"7,229",x,"2,670",x,x,"14,558"
Alewife,950,"1,273",106,0,0,0
Eel,117,432,543,x,x,0
Salmon,0,0,0,0,0,"91,095"
Smelt,0,x,x,0,0,0
Silversides,0,0,441,0,0,0
Shark,182,0,0,1,0,0
Capelin,0,0,0,105,"10,475",0
Oyster,x,x,"5,365",0,0,0
Scallop,"153,696","10,516","1,358","2,199","1,499",0
Squid,1,x,0,x,"2,348",0
Mussel,0,0,0,0,0,0
Lobster,"771,107","290,653","194,407","116,616","46,869",0
Shrimp,"85,154","9,774",0,"27,782","242,090","44,035"
"Crab, Queen","149,872","97,924","33,222","168,818","298,347",0
"Crab, Other","2,349","1,700","1,494","1,562",562,"63,798"
Whelks,x,0,0,"2,100",x,0
Cockles,x,0,0,0,x,0
Sea cucumber,"1,720",540,0,"2,697","7,430","8,918"
Sea urchin,x,"2,256",0,x,723,"7,379"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
