Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"36,365","1,030",678,"3,582","24,670","4,591"
Haddock,"20,750",13,0,0,270,0
Redfish,"11,311",705,"1,450","3,006","7,252","17,848"
Halibut,"6,110",43,4,575,536,"30,275"
Flatfishes,"12,593",836,590,961,"8,817","7,173"
Greenland turbot,"2,997",48,0,"3,505","8,512","1,056"
Pollock,"11,825",469,0,0,124,"2,617"
Hake,"21,327",85,275,172,333,"8,655"
Cusk,"2,359",0,0,0,0,0
Catfish,221,2,0,2,78,0
Skate,39,0,1,0,11,49
Dogfish,153,61,68,65,1,830
Herring,"10,298","10,380",741,"1,290","3,049","71,260"
Mackerel,"2,089",695,"1,482","1,090","1,824",6
Swordfish,"15,090",0,0,0,821,0
Tuna,"11,178",166,264,0,364,"1,352"
Alewife,897,854,69,0,0,0
Eel,657,728,246,"1,372",485,0
Salmon,0,0,0,210,503,"201,027"
Smelt,91,731,213,316,18,0
Capelin,0,0,0,239,"19,192",0
Oyster,29,828,"2,227",0,0,0
Scallop,"101,218","8,881","2,466","3,707","6,085",423
Squid,510,0,0,0,97,0
Mussel,1,55,"4,972",37,29,0
Lobster,"157,533","46,684","51,713","25,030","18,234",0
Shrimp,"17,894","3,309",0,"14,515","52,036","13,623"
"Crab, Queen","18,690","26,078","2,994","30,805","31,729",0
"Crab, Other",247,134,497,0,0,"18,761"
Sea urchin,162,"1,392",0,0,62,"9,149"
