Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"13,816",556,320,"2,211","17,168","2,066"
Haddock,"26,645",6,0,0,253,0
Redfish,"5,098",5,0,195,"4,026","24,196"
Halibut,"10,337",437,102,"1,006","2,764","39,659"
Flatfishes,"3,042",30,229,672,"13,125","11,576"
Greenland turbot,"2,292",243,0,"6,600","30,856",0
Pollock,"4,253",53,0,0,254,869
Hake,"9,675",17,1,4,"1,354","28,380"
Cusk,810,0,0,0,2,0
Catfish,52,0,0,0,0,0
Skate,118,0,0,3,363,579
Dogfish,967,29,0,0,1,"1,639"
Herring,"13,309","14,222","4,229","1,517","6,139","27,947"
Mackerel,"3,369","1,077","3,530",665,"16,623",0
Swordfish,"13,143",0,0,0,166,0
Tuna,"9,811",0,"2,467",0,275,"13,223"
Alewife,159,905,183,0,0,0
Eel,"1,850",604,287,476,384,0
Salmon,0,0,0,0,0,"34,029"
Smelt,33,505,287,108,1,0
Capelin,0,0,0,265,"10,418",0
Oyster,330,924,"6,434",0,0,0
Scallop,"67,032","4,359",854,"1,937","8,073",143
Squid,22,0,0,0,345,0
Mussel,0,205,0,109,0,0
Lobster,"418,742","96,350","103,164","48,496","31,222",0
Shrimp,"49,282","7,445",0,"23,923","176,498","43,042"
"Crab, Queen","69,104","71,163","15,118","63,401","140,252",0
"Crab, Other","1,672","1,822","1,671","1,749",980,"27,991"
Sea urchin,906,"3,127",0,207,737,"6,739"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
