Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"14,072",518,96,309,"18,545","1,093"
Haddock,"28,121",48,0,0,203,0
Redfish spp.,"4,318",1,0,235,"4,232","25,094"
Halibut,"10,048",244,26,644,"3,590","48,406"
Flatfishes,"6,306",35,516,482,"12,249","7,783"
Greenland turbot,"2,196",83,0,"5,095","29,332",0
Pollock,"6,545",85,0,1,161,"2,151"
Hake,"9,646",48,3,10,774,"16,405"
Cusk,"1,044",0,0,0,1,0
Catfish,76,0,0,0,32,0
Skate,82,0,0,3,664,"2,108"
Dogfish,436,0,0,13,0,"1,766"
Herring,"17,712","15,618","4,166","1,734","3,786","36,455"
Mackerel,"3,322","1,056","2,102","1,928","6,901",1
Swordfish,"11,358",0,0,0,359,0
Tuna,"10,697",0,"2,713",0,"1,101","5,919"
Alewife,798,691,63,0,0,0
Eel,474,703,269,365,269,0
Salmon,0,0,0,0,0,"48,875"
Smelt,56,905,256,111,6,0
Capelin,0,0,0,11,"3,663",0
Oyster,124,884,"7,443",0,0,0
Scallop,"122,256","4,242",566,"1,927","1,782",229
Squid,54,0,0,0,559,0
Mussel,60,196,0,108,0,0
Lobster,"394,480","88,466","109,392","46,910","25,871",0
Shrimp,"68,921","6,253",0,"23,580","142,003","34,515"
"Crab, Queen","114,173","46,301","10,329","79,387","263,583",0
"Crab, Other","2,702","2,082","1,416","1,377","1,138","38,396"
Sea urchin,"1,028","4,072",0,264,"1,552","7,505"
