Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"18,210","1,389",100,567,"1,108",967
Haddock,"16,004",290,0,0,142,0
Redfish,"5,198",0,0,24,"3,211","22,733"
Halibut,"5,293",53,1,772,"1,036","33,775"
Flatfishes,"9,821",564,517,399,"1,059","5,096"
Greenland turbot,"1,591",46,0,"3,575","19,238","1,178"
Pollock,"6,998",324,0,0,223,965
Hake,"18,300",53,16,16,240,"10,817"
Cusk,"1,360",0,0,0,1,0
Catfish,165,2,0,0,67,0
Skate,731,0,4,4,664,321
Dogfish,35,1,41,111,3,"2,464"
Herring,"16,517","15,273","5,244","2,388","2,910","77,372"
Mackerel,"2,996","1,278","2,386","1,683","1,349",39
Swordfish,"5,819",0,0,0,600,0
Tuna,"12,438",0,915,0,"1,278","2,665"
Alewife,628,441,28,0,0,0
Eel,"1,545",628,224,"1,399",579,0
Salmon,0,0,0,186,299,"100,053"
Smelt,46,759,186,150,7,3
Capelin,0,0,0,76,"6,273",0
Oyster,136,"1,222","2,662",0,0,0
Scallop,"58,092","6,285","4,353","3,916","18,166",556
Squid,660,0,0,0,"4,195",151
Mussel,0,170,0,171,0,0
Lobster,"204,045","61,843","64,975","33,335","21,278",0
Shrimp,"30,911","5,654",0,"22,289","83,945","38,692"
"Crab, Queen","27,545","53,794","5,336","60,205","96,832",0
"Crab, Other","2,476",890,791,344,90,"24,195"
Sea urchin,"3,417","4,024",0,146,941,"11,972"
