Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"14,041",998,372,"2,208","17,796","1,778"
Haddock,"20,195",42,0,0,154,0
Redfish,"4,728",12,0,204,"2,674","25,922"
Halibut,"10,384",338,153,"1,042","3,267","39,087"
Flatfishes,"3,614",51,228,675,"12,159","8,549"
Greenland turbot,"2,134",133,0,"6,578","28,447",0
Pollock,"4,044",27,0,0,149,"1,357"
Hake,"10,746",44,2,5,802,"29,490"
Cusk,612,0,0,0,2,0
Catfish,60,0,0,0,0,0
Skate,93,0,0,5,332,690
Dogfish,705,90,0,5,0,"1,573"
Herring,"15,184","12,038","3,684","1,728","3,177","27,895"
Mackerel,"2,614",871,"2,335",841,"10,664",6
Swordfish,"10,008",0,0,0,106,0
Tuna,"9,190",0,"2,852",0,227,"2,620"
Alewife,391,733,93,0,0,0
Eel,889,709,306,0,232,0
Salmon,0,0,0,0,0,"53,198"
Smelt,49,524,144,0,4,0
Capelin,0,0,0,25,"9,031",0
Oyster,122,848,"7,805",0,0,0
Scallop,"106,293","4,737",791,"1,610","5,805",191
Squid,45,0,0,0,"1,436",0
Mussel,143,54,0,98,0,0
Lobster,"344,790","76,503","97,935","49,829","21,090",0
Shrimp,"42,429","7,704",0,"29,088","170,205","30,393"
"Crab, Queen","119,477","77,962","16,864","98,134","300,577",0
"Crab, Other","1,893","1,986","1,758","1,485","1,115","46,815"
Sea urchin,774,"3,324",0,223,"1,276","7,633"
