Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"8,449",66,19,931,"15,233","1,441"
Haddock,"36,742",6,0,0,172,0
Redfish,"6,148",6,0,215,"1,788","18,774"
Halibut,"15,957",287,146,"1,948","3,532","31,617"
Flatfishes,"2,184",34,144,616,"5,338","4,418"
Greenland turbot,106,6,0,"6,563","35,046",0
Pollock,"4,512",111,0,0,191,849
Hake,"9,124",18,1,10,408,"14,797"
Cusk,560,0,0,0,1,0
Catfish,0,0,0,0,0,0
Skate,22,0,0,2,284,597
Dogfish,60,0,0,0,0,"2,756"
Herring,"20,469","10,854","3,865","1,330","6,142","18,033"
Mackerel,969,"1,114","1,833","1,201","10,554",0
Swordfish,"7,663",0,0,0,47,0
Tuna,"7,358",0,"2,152",126,88,"11,965"
Alewife,47,"1,557",250,0,0,0
Eel,33,467,210,172,156,0
Salmon ,0,0,0,0,0,"23,724"
Smelt,0,498,83,460,0,0
Silversides,23,0,456,0,0,0
Shark,199,0,0,1,6,0
Capelin,0,88,0,174,"5,128",0
Oyster,96,717,"4,623",0,0,0
Scallop,"80,005","4,375",785,"1,768","1,088",66
Squid,52,0,0,0,223,0
Mussel,0,37,0,44,0,0
Lobster,"308,169","78,102","69,033","33,890","18,097",0
Shrimp,"30,941","6,206",0,"23,449","129,490","2,142"
"Crab, Queen","54,519","40,166","7,609","46,122","164,715",0
"Crab, Other",816,"1,792","1,733","1,854",239,"32,796"
Whelks,0,0,0,"1,415","4,573",0
Cockles,0,0,0,0,"1,523",0
Sea cucumber,731,359,0,195,338,"2,356"
Sea urchin,"1,256","2,863",0,546,20,"2,929"
