Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"3,154",15,22,591,"8,215","1,757"
Haddock,"11,938",x,0,0,x,0
Redfish,"4,912",x,0,x,"5,907","23,091"
Halibut,"28,411",714,382,"3,171","5,576","44,491"
Flatfishes,"3,610",3,98,977,"14,697","9,085"
Greenland turbot,x,x,0,"5,970","50,257",0
Pollock,"3,739",x,0,x,93,"2,351"
Hake,"6,827",x,0,x,233,"16,659"
Cusk,348,0,0,0,x,0
Catfish,0,0,0,x,0,0
Skate,118,0,0,1,42,872
Dogfish,x,0,0,x,0,250
Herring,"17,240","14,211","3,639","2,927","8,149","7,725"
Mackerel,319,626,622,"1,079","2,836",3
Swordfish,"12,302",0,0,0,0,0
Tuna,"7,263",169,"2,305",89,175,"13,617"
Alewife,267,666,51,0,0,0
Eel,x,943,659,x,196,0
Salmon ,0,0,0,0,0,"23,967"
Smelt,x,371,33,x,x,0
Silversides,x,0,x,0,0,0
Shark,122,0,0,0,0,0
Capelin,0,0,0,48,"6,021",0
Oyster,415,"1,081","5,923",0,0,0
Scallop,"157,547","7,607","1,008","1,634","3,281",4
Squid,1,0,0,0,0,0
Mussel,0,x,0,x,0,0
Lobster,"414,184","123,673","85,787","39,306","17,526",0
Shrimp,"66,441","7,205",0,"31,353","237,263","2,165"
"Crab, Queen","75,707","55,228","9,743","74,033","219,458",0
"Crab, Other",979,"1,653","1,989","1,479",61,"31,478"
Whelks,x,0,0,x,"6,646",0
Cockles,0,0,0,0,x,0
Sea cucumber,965,x,0,868,x,0
Sea urchin,x,"3,569",0,x,"1,159","2,631"
